date,ord_type,orders
6/27/2021,Repeat,8212
6/26/2021,Repeat,7631
6/25/2021,Repeat,7251
6/24/2021,Repeat,7352
6/23/2021,Repeat,7644
6/22/2021,Repeat,7117
6/21/2021,Repeat,6731
6/20/2021,Repeat,7018
6/19/2021,Repeat,7094
6/18/2021,Repeat,6670
6/17/2021,Repeat,7032
6/16/2021,Repeat,7046
6/15/2021,Repeat,7028
6/14/2021,Repeat,6139
6/13/2021,Repeat,6975
6/12/2021,Repeat,6467
6/11/2021,Repeat,6756
6/10/2021,Repeat,6499
6/9/2021,Repeat,7124
6/8/2021,Repeat,7008
6/7/2021,Repeat,6364
6/6/2021,Repeat,7371
6/5/2021,Repeat,6590
6/4/2021,Repeat,6272
6/3/2021,Repeat,6012
6/2/2021,Repeat,6137
6/1/2021,Repeat,5944
5/31/2021,Repeat,6503
5/30/2021,Repeat,7048
5/29/2021,Repeat,6702
5/28/2021,Repeat,6861
5/27/2021,Repeat,6664
5/26/2021,Repeat,6432
5/25/2021,Repeat,6135
5/24/2021,Repeat,5936
5/23/2021,Repeat,6158
5/22/2021,Repeat,6111
5/21/2021,Repeat,5827
5/20/2021,Repeat,6934
5/19/2021,Repeat,5549
5/18/2021,Repeat,4992
5/17/2021,Repeat,4688
5/16/2021,Repeat,4621
5/15/2021,Repeat,4497
5/14/2021,Repeat,4277
5/13/2021,Repeat,3558
5/12/2021,Repeat,6856
5/11/2021,Repeat,5956
5/10/2021,Repeat,5499
5/9/2021,Repeat,5742
5/8/2021,Repeat,5454
5/7/2021,Repeat,5431
5/6/2021,Repeat,5209
5/5/2021,Repeat,5272
5/4/2021,Repeat,5424
5/3/2021,Repeat,4995
5/2/2021,Repeat,5509
5/1/2021,Repeat,5440
4/30/2021,Repeat,5130
4/29/2021,Repeat,4675
4/28/2021,Repeat,4499
4/27/2021,Repeat,4447
4/26/2021,Repeat,3908
4/25/2021,Repeat,4257
4/24/2021,Repeat,4075
4/23/2021,Repeat,3920
4/22/2021,Repeat,3900
4/21/2021,Repeat,3708
4/20/2021,Repeat,3475
4/19/2021,Repeat,3580
4/18/2021,Repeat,3491
4/17/2021,Repeat,3650
4/16/2021,Repeat,3700
4/15/2021,Repeat,3604
4/14/2021,Repeat,3797
4/13/2021,Repeat,3743
4/12/2021,Repeat,2980
4/11/2021,Repeat,3439
4/10/2021,Repeat,3445
4/9/2021,Repeat,3327
4/8/2021,Repeat,3121
4/7/2021,Repeat,3223
4/6/2021,Repeat,3095
4/5/2021,Repeat,2925
4/4/2021,Repeat,3035
4/3/2021,Repeat,2978
4/2/2021,Repeat,2895
4/1/2021,Repeat,2804
6/27/2021,New,2077
6/26/2021,New,1871
6/25/2021,New,1770
6/24/2021,New,1888
6/23/2021,New,2034
6/22/2021,New,1855
6/21/2021,New,1541
6/20/2021,New,1746
6/19/2021,New,1675
6/18/2021,New,1692
6/17/2021,New,2007
6/16/2021,New,1752
6/15/2021,New,2035
6/14/2021,New,1904
6/13/2021,New,1890
6/12/2021,New,1839
6/11/2021,New,1661
6/10/2021,New,1446
6/9/2021,New,1410
6/8/2021,New,1531
6/7/2021,New,1326
6/6/2021,New,1872
6/5/2021,New,1785
6/4/2021,New,1495
6/3/2021,New,1693
6/2/2021,New,1588
6/1/2021,New,1549
5/31/2021,New,1810
5/30/2021,New,1801
5/29/2021,New,2149
5/28/2021,New,2141
5/27/2021,New,2362
5/26/2021,New,2176
5/25/2021,New,1987
5/24/2021,New,1608
5/23/2021,New,1660
5/22/2021,New,1399
5/21/2021,New,1183
5/20/2021,New,1425
5/19/2021,New,1459
5/18/2021,New,1349
5/17/2021,New,1517
5/16/2021,New,1269
5/15/2021,New,1189
5/14/2021,New,1098
5/13/2021,New,804
5/12/2021,New,1848
5/11/2021,New,1788
5/10/2021,New,1765
5/9/2021,New,1940
5/8/2021,New,1567
5/7/2021,New,1474
5/6/2021,New,1428
5/5/2021,New,1334
5/4/2021,New,1347
5/3/2021,New,1437
5/2/2021,New,1842
5/1/2021,New,1756
4/30/2021,New,1690
4/29/2021,New,1742
4/28/2021,New,1478
4/27/2021,New,1378
4/26/2021,New,1221
4/25/2021,New,1411
4/24/2021,New,1289
4/23/2021,New,1328
4/22/2021,New,1316
4/21/2021,New,1212
4/20/2021,New,1197
4/19/2021,New,1248
4/18/2021,New,1222
4/17/2021,New,1224
4/16/2021,New,981
4/15/2021,New,948
4/14/2021,New,986
4/13/2021,New,1162
4/12/2021,New,987
4/11/2021,New,982
4/10/2021,New,1073
4/9/2021,New,973
4/8/2021,New,978
4/7/2021,New,1044
4/6/2021,New,976
4/5/2021,New,923
4/4/2021,New,919
4/3/2021,New,1100
4/2/2021,New,905
4/1/2021,New,968
